Raw data column name,Standard short name,notes
Tair_1_Avg,Tair_1_Avg,
RH_1_Avg,RH_1_Avg,
Tair_2_Avg,Tair_2_Avg,
RH_2_Avg,RH_2_Avg,
VP_1_Avg,VP_1_Avg,
VPsat_1_Avg,VPsat_1_Avg,
VP_2_Avg,VP_2_Avg,
VPsat_2_Avg,VPsat_2_Avg,
WindSpeed_Avg,WS_Avg,
WindDir_VAvg,WDuv_Avg,
STD_WindDir,WD_StdY,
WindSpeed_WVc(1),WS_Avg,
WindSpeed_WVc(2),WDuv_Avg,
WindSpeed_WVc(3),WD_StdY,
SWin_Avg,SWin_Avg,
SWout_Avg,SWout_Avg,
LWin_Avg,LWin_Avg,
LWout_Avg,LWout_Avg,
SWnet_Avg,SWnet_Avg,
LWnet_Avg,LWnet_Avg,
Rnet_Avg,Rnet_Avg,
Albedo_Avg,Albedo_Avg,
Tsurface_Avg,Tsrf_Avg,
Tsky_Avg,Tsky_Avg,
Pressure,P,
Pressure_sl,Psl,
Rainfall_Tot,RF_Tot,
Rainfall_MaxInt_Max,RFint_Max,
SoilMoisture_1,SM_d1_Avg,
Tsoil_SMd1,Tsoil_d2,
SoilMoisture_2,SM_d2_Avg,
Tsoil_SMd2,Tsoil_d3,
SoilMoisture_3,SM_d3_Avg,
Tsoil_SMd3,Tsoil_d4,
SoilHeatFlux_Avg,SHFsrf_Avg,
Tsoil_TCAV_Avg,Tsoil_d1_Avg,
