Raw data column name,Standard short name,notes
SWin_Avg,SWin_Avg,
SWout_Avg,SWout_Avg,
LWin_Avg,LWin_Avg,
LWout_Avg,LWout_Avg,
SWnet_Avg,SWnet_Avg,
LWnet_Avg,LWnet_Avg,
Rin_Avg,Rin_Avg,
Rout_Avg,Rout_Avg,
Rnet_Avg,Rnet_Avg,
Albedo_Avg,Albedo_Avg,
Tsrf_Avg,Tsrf_Avg,
Tsky_Avg,Tsky_Avg,
Tair_1_Avg,Tair_1_Avg,
Tair_2_Avg,Tair_2_Avg,
RH_1_Avg,RH_1_Avg,
RH_2_Avg,RH_2_Avg,
VP_1_Avg,VP_1_Avg,
VP_2_Avg,VP_2_Avg,
VPsat_1_Avg,VPsat_1_Avg,
VPsat_2_Avg,VPsat_2_Avg,
VPD_1_Avg,VPD_1_Avg,
VPD_2_Avg,VPD_2_Avg,
WS_Avg,WS_Avg,
WSrs_Avg,WSrs_Avg,
WDuv_Avg,WDuv_Avg,
WDrs_Avg,WDrs_Avg,
WD_StdY,WD_StdY,
WD_StdCS,WD_StdCS,
P,P,
Psl,Psl,
Tsoil_TCAV_Avg,Tsoil_d1_Avg,
SHF_16cm_Avg,SHF_Avg,
SHFsrf_Avg,SHFsrf_Avg,
SM_1_H8cm_Avg,SM_d1_Avg,
SM_2_NANANcm_Avg,SM_d2_Avg,no sensor
SM_3_NANANcm_Avg,SM_d3_Avg,no sensor
Tsoil_SM1_8cm,Tsoil_d2,
Tsoil_SM2_NANcm,Tsoil_d3,no sensor
Tsoil_SM3_NANcm,Tsoil_d4,no sensor
RF_Tot,RF_Tot,
RGtip_Tot,RGtip_Tot,
RFint_Max,RFint_Max,
FC_Tot,FC_Tot,
WTlvl_Avg,WTlvl_Avg,
