Raw data column name,Standard short name,notes
Tair_1_Avg,Tair_1_Avg,
RH_1_Avg,RH_1_Avg,
Tair_2_Avg,Tair_2_Avg,
RH_2_Avg,RH_2_Avg,
VP_1_Avg,VP_1_Avg,
VPsat_1_Avg,VPsat_1_Avg,
VP_2_Avg,VP_2_Avg,
VPsat_2_Avg,VPsat_2_Avg,
WindSpeed_Avg,WS_Avg,
WindDirUV_Avg,WSrs_Avg,
WindSpeedRS_Avg,WDuv_Avg,
WindDirRS_Avg,WDrs_Avg,
WindDir_StdY,WD_StdY,
WindDir_StdCSI,WD_StdCS,
SWin_Avg,SWin_Avg,
SWout_Avg,SWout_Avg,
LWin_Avg,LWin_Avg,
LWout_Avg,LWout_Avg,
SWnet_Avg,SWnet_Avg,
LWnet_Avg,LWnet_Avg,
Rnet_Avg,Rnet_Avg,
Albedo_Avg,Albedo_Avg,
Tsurface_Avg,Tsrf_Avg,
Tsky_Avg,Tsky_Avg,
Pressure,P,
Pressure_sl,Psl,
Rainfall_Tot,RF_Tot,
Rainfall_MaxInt_Max,RFint_Max,
SoilMoisture_1_Avg,SM_d1_Avg,
Tsoil_SM1,Tsoil_d2,
SoilMoisture_2_Avg,SM_d2_Avg,
Tsoil_SM2,Tsoil_d3,
SoilMoisture_3_Avg,SM_d3_Avg,
Tsoil_SM3,Tsoil_d4,
SoilHeatFlux_Avg,SHFsrf_Avg,
SHF_16cm_Avg,SHF_Avg,
Tsoil_TCAV_Avg,Tsoil_d1_Avg,
