alias_name,standard_name
SWup_Avg,SWin_Avg
SWdn_Avg,SWout_Avg
LWup_Avg,LWinUC_Avg
LWdn_Avg,LWoutUC_Avg
Trnet_Avg,Trnet_Avg
PAR_Avg,PAR_1_Avg
Tair_1_Avg,Tair_1_Avg
RH_1_Avg,RH_1_Avg
Tair_2_Avg,Tair_2_Avg
RH_2_Avg,RH_2_Avg
BF3_PAR_Tot_Avg,PAR_2_Avg
BF3_PAR_Diff_Avg,PARdiff_Avg
WindSpeed,WS_Avg
WindSpeed_rs,WSrs_Avg
WindDir,WDrs_Avg
WindDir_sd,WD_StdCS
WindDir_uv,WDuv_Avg
Rainfall_Tot,RF_Tot
Tsoil_1_Avg,Tsoil_1_Avg
Tsoil_2_Avg,Tsoil_2_Avg
SoilHeatFlux_1_Avg,SHF_1_Avg
SoilHeatFlux_2_Avg,SHF_2_Avg
SoilHeatFlux_3_Avg,SHF_3_Avg
SoilHeatFlux_4_Avg,SHF_4_Avg
SoilMoisture_1_Avg,SM_1_Avg
SoilMoisture_2_Avg,SM_2_Avg
SoilMoisture_3_Avg,SM_3_Avg
